d1	d2	d3	d4	d5	d6
イビデン７０年史	イビデン株式会社社史編集室．編	イビデン株式会社, 		 ｲ   	ISBN:  RGTN: 10265 受入日: 19830331
廣漢和辞典　上	諸橋　轍次／鎌田　正／米山　寅太郎．共著	大修館書店, 	辞典	813.2 ﾓﾃ 上 一般書架	ISBN:  RGTN: 10294 受入日: 19830331
廣漢和辞典　中	諸橋　轍次／鎌田　正／米山　寅太郎．共著	大修館書店, 	辞典	813.2 ﾓﾃ 中 一般書架	ISBN:  RGTN: 10295 受入日: 19830331
廣漢和辞典　下	諸橋　轍次／鎌田　正／米山　寅太郎．共著	大修館書店, 	辞典	813.2 ﾓﾃ 下 一般書架	ISBN:  RGTN: 10296 受入日: 19830331
新英和中辞典	研究社	研究社, 	辞典	833 ｹ 1 	ISBN:  RGTN: 11157 受入日: 19830619
崑崙山への昇仙　--古代中国人が描いた死後の世界--	曽布川　寛	中央公論社, 	中公新書６３５	186.7 ｿ  箱詰め	ISBN:  RGTN: 11646 受入日: 19831126
山伏　--入峰・修行・呪法--	和歌森　太郎	中央公論社, 	中公新書４８	188.59 ﾜ  箱詰め	ISBN:  RGTN: 11756 受入日: 19831224
禅思想　--その原型をあらう--	柳田　聖山	中央公論社, 	中公新書４００	188.8 ﾔ  箱詰め	ISBN:  RGTN: 11993 受入日: 19831228
北の国から　前編	倉本　聰	理論社, 		912.7 ｸ 1 一般書架	ISBN:  RGTN: 12337 受入日: 19840205
経済学大辞典　\x87T	編集委員	東洋経済新報社, 		330.3 ﾄ 1 一般書架	ISBN:  RGTN: 12436 受入日: 19840222
経済学大辞典　\x87U	編集委員	東洋経済新報社, 		330.3 ﾄ 2 一般書架	ISBN:  RGTN: 12437 受入日: 19840222
角川日本地名大辞典　２１　／岐阜県	編纂委員会	角川書店, 	地名辞典	291.03 ｶ 21 一般書架	ISBN:  RGTN: 12439 受入日: 19840222
講座　日本近代文学史　１	小田切　秀雄．編	大月書店, 		910.26 ｵ 1 箱詰め	ISBN:  RGTN: 13119 受入日: 19840726
講座　日本近代文学史　２	小田切　秀雄．編	大月書店, 		910.26 ｵ 2 箱詰め	ISBN:  RGTN: 13120 受入日: 19840726
講座　日本近代文学史　３	小田切　秀雄．編	大月書店, 		910.26 ｵ 3 箱詰め	ISBN:  RGTN: 13121 受入日: 19840726
講座　日本近代文学史　４	小田切　秀雄．編	大月書店, 		910.26 ｵ 4 箱詰め	ISBN:  RGTN: 13122 受入日: 19840726
講座　日本近代文学史　５	小田切　秀雄．編	大月書店, 		910.26 ｵ 5 箱詰め	ISBN:  RGTN: 13123 受入日: 19840726
超人間　／肉体と精神を改造する科学／	Ｒ・エッチンガー／久保　智洋．訳	光文社, 	カッパブックス	469 ｴ  箱詰め	ISBN:  RGTN: 13169 受入日: 19840726
三光　--日本人の中国における戦争犯罪の告白--	神吉　晴夫	光文社, 	ｶｯﾊﾟﾌﾞｯｸｽ	329.67 ｶ  箱詰め	ISBN:  RGTN: 13203 受入日: 19840726
みみずく説法	今　東光	光文社, 	カッパ・ブックス	184 ｺ  箱詰め	ISBN:  RGTN: 13228 受入日: 19840726
歎異抄入門　--この乱世を生き抜くための知恵	本多　顕彰	光文社, 	カッパ・ブックス	188.7 ﾎ  箱詰め	ISBN:  RGTN: 13349 受入日: 19840727
３分間スピーチ　／一人一人の心に、強烈な感動を・・・・／	諸星　龍	光文社, 	カッパブックス	809.4 ﾓ  箱詰め	ISBN:  RGTN: 13383 受入日: 19840727
黄色い部屋　／スガモ・プリズンの通訳医者／	吉浦　亀雄	光文社, 	カッパブックス	326.52 ﾖ  箱詰め	ISBN:  RGTN: 13403 受入日: 19840727
岐阜県百科事典　上	岐阜県百科事典制作委員会	岐阜日日新聞社, 	事典	291.53 ｷﾞ 上 一般書架	ISBN:  RGTN: 13507 受入日: 19840828
岐阜県百科事典　下	岐阜県百科事典制作委員会	岐阜日日新聞社, 	事典	291.53 ｷﾞ 下 一般書架	ISBN:  RGTN: 13508 受入日: 19840828
太宰治全集　９	太宰　治	筑摩書房, 	全集	918.6 ﾀﾞｻﾞ 9 一般書架	ISBN:  RGTN: 14145 受入日: 19850318
時事年鑑　昭和五十八年	時事通信社	時事通信社出版局, 	年鑑	059 ｼﾞ 1983 箱詰め	ISBN:  RGTN: 14165 受入日: 19890929
時事年鑑　昭和五十九年	時事通信社	時事通信社出版局, 	年鑑	059 ｼﾞ 1984 箱詰め	ISBN:  RGTN: 14166 受入日: 19890929
原色日本両生爬虫類図鑑	中村　健児／上野　俊一	保育社, 	図鑑	487.8 ﾎ  	ISBN: 9784-586300303 RGTN: 14393 受入日: 19850506
九つの空	團　伊玖磨	朝日新聞社, 	朝日文庫	916 ﾀﾞｲ  文庫書架	ISBN:  RGTN: 14536 受入日: 19850710
新法律学辞典　【新版】	我妻　栄	有斐閣, 		321 ﾜｻ  一般書架	ISBN: 9784-641000025 RGTN: 14651 受入日: 19850727
日本社会運動人名辞典	塩田　庄兵衛	青木書店, 	辞典	309.02 ｼｼ  一般書架	ISBN: 9784-250790034 RGTN: 14652 受入日: 19850727
チャナディのサッカー　【新版】	アルパド・チャナディ／宮川　毅．訳	ベースボール・マガジン社, 		783.47 ﾁ  	ISBN: 9784-583024066 RGTN: 14696 受入日: 19850727
西洋音楽散歩	柴田　南雄	青土社, 		762.3 ｼﾐ  	ISBN:  RGTN: 14754 受入日: 19850803
現代ヨーロッパの言語	田中　克彦／Ｈ．ハールマン	岩波書店, 	岩波新書Ｙ２９２	800 ﾀ     新書書架	ISBN:  RGTN: 14851 受入日: 19850808
新明解漢和辞典　【第二版】	長澤　規矩也．編	三省堂, 	辞典	813.2 ﾅｷ  一般書架	ISBN:  RGTN: 14954 受入日: 19850809
新明解漢和辞典	長澤　規矩也．編	三省堂, 	辞典	813.2 ﾅｷ  一般書架	ISBN:  RGTN: 14955 受入日: 19850809
教育小六法　／昭和６１年版	兼子　仁．編	学陽書房, 	法律書	373.2 ｶﾋ  一般書架	ISBN: 9784-313011618 RGTN: 15081 受入日: 19850814
大学でなにを学ぶか	隅谷　三喜男	岩波書店, 	岩波ジュニア新書３８	377 ｽ  新書書架	ISBN:  RGTN: 15238 受入日: 19851016
和泉式部日記	和泉式部／清水　文雄．校注	岩波書店, 	岩波文庫	911.34 ｼ  文庫書架	ISBN:  RGTN: 15590 受入日: 19860305
アダムとイヴの日記	マーク・トウェイン／大久保　博．訳	旺文社, 	旺文社文庫	933 ﾄ  文庫書架	ISBN: 9784-010621936 RGTN: 15695 受入日: 19860723
雨月物語 : 現代語訳対照	[上田秋成著] ; 大輪靖宏訳注	岩波書店, 	旺文社文庫	913.5 ｳｴ  西高100冊	ISBN: 9784-010640715 RGTN: 15754 受入日: 19860723
兎の眼	灰谷　健次郎	理論社, 		913.6 ﾊｲ  西高100冊	ISBN: 9784-652071014 RGTN: 15803 受入日: 19860723
細雪　上巻	谷崎　潤一郎	旺文社, 	旺文社文庫	913.6 ﾀﾆ 上 文庫書架	ISBN: 9784-010611012 RGTN: 15839 受入日: 19860723
細雪　中巻	谷崎　潤一郎	旺文社, 	旺文社文庫	913.6 ﾀﾆ 中 文庫書架	ISBN: 9784-010611029 RGTN: 15840 受入日: 19860723
細雪　下巻	谷崎　潤一郎	旺文社, 	旺文社文庫	913.6 ﾀﾆ 下 文庫書架	ISBN: 9784-010611036 RGTN: 15841 受入日: 19860723
ギリシア・ローマの神話　／人間に似た神さまたち／	吉田　敦彦	筑摩書房, 	世界の神話３	164 ﾖ 3 一般書架	ISBN:  RGTN: 15889 受入日: 19860723
追われ行くカモシカたち	浜　昇	筑摩書房, 	ちくま少年図書館　３５	489.85 ﾊﾉ 35 一般書架	ISBN:  RGTN: 15900 受入日: 19860723
中国古典選　２０　／史記〈三〉	田中　謙二／一海　知義	朝日新聞社, 	朝日文庫	928 ｱ 20 文庫書架	ISBN:  RGTN: 16209 受入日: 19870331
人間とは何か	マーク・トウェイン．著／中野　好夫．訳	岩波書店, 	岩波文庫	934.6 ﾄｳ  文庫書架	ISBN:  RGTN: 16303 受入日: 19870721
世界科学者事典　１／生物学者	Ｄ・アボット／中村　禎里．訳	原書房, 		403 ｱ 1 一般書架	ISBN: 9784-562016099 RGTN: 16365 受入日: 19870721
世界科学者事典　２／化学者	Ｄ・アボット／竹内　敬人．訳	原書房, 		403 ｱ 2 一般書架	ISBN: 9784-562016105 RGTN: 16366 受入日: 19870721
世界科学者事典　３／天文学者	Ｄ・アボット／小尾　信彌．訳	原書房, 		403 ｱ 3 一般書架	ISBN: 9784-562016112 RGTN: 16367 受入日: 19870721
世界科学者事典　４／物理学者	Ｄ・アボット／渡辺　正雄．訳	原書房, 		403 ｱ 4 一般書架	ISBN: 9784-562016129 RGTN: 16368 受入日: 19870721
ルソー選集　７　／社会契約論／政治経済論／	ルソー／作田　啓一／阪上　孝．訳／	白水社, 	選集	135.3 ﾙｿ  西高100冊	ISBN: 9784-560022719 RGTN: 16616 受入日: 19870731
みずうみ　／他４編	シュトルム／関　泰祐．訳	岩波書店, 	岩波文庫	943 ｼ  文庫書架	ISBN:  RGTN: 16732 受入日: 19870731
世界科学者事典　５／数学者	Ｄ・アボット／齋藤　正彦．訳	原書房, 		403 ｱ 5 一般書架	ISBN: 9784-562016136 RGTN: 17364 受入日: 19880512
世界科学者事典　６／技術者	Ｄ・アボット／坂本　賢三．訳	原書房, 		403 ｱ 6 一般書架	ISBN: 9784-562016143 RGTN: 17365 受入日: 19880512
世界科学者事典　別巻／総索引	Ｄ・アボット／伊東　俊太郎．監修	原書房, 		403 ｱ 別 一般書架	ISBN: 9784-562016150 RGTN: 17366 受入日: 19880512
ヒロシマという名の街で	小笠　邦久	蝸牛社, 		913.6 ｵｶ  一般書架	ISBN: 9784-905579953 RGTN: 17480 受入日: 19880601
料理人の休日	辻　静雄	新潮社, 	新潮文庫	913.6 ﾂｼﾞ  文庫書架	ISBN: 9784-101275086 RGTN: 17797 受入日: 19880723
高血圧の正しい知識		南江堂, 		498.81 ﾌｼ11  一般書架	ISBN: 9784-524244263 RGTN: 17842 受入日: 19880723
航空　／飛行機のあゆみ	小学館	小学館, 	小学館の学習百科図鑑　１２	538 ｼ 12 事典棚	ISBN: 9784-092170124 RGTN: 18000 受入日: 19890105
藤村文明論集	島崎　藤村／十川　信介．編	岩波書店, 	岩波文庫	914.6 ｼﾄ  文庫書架	ISBN: 9784-003102466 RGTN: 18199 受入日: 19890217
大辞林	松村　明	三省堂, 	辞典	813.1 ﾏｱ  一般書架	ISBN:  RGTN: 18251 受入日: 19890315
きけ　わだつみのこえ【第２集】　／日本戦没学生の手記／	日本戦没学生記念会．編	岩波書店, 	岩波文庫	916 ﾆﾎ  西高100冊	ISBN: 9784-003315729 RGTN: 18422 受入日: 19890324
レトリック感覚　／ことばは新しい視点をひらく	佐藤　信夫	講談社, 		801 ｻ  一般書架	ISBN: 9784-061237421 RGTN: 18442 受入日: 19890324
Ｑ＆Ａ　経済常識１００問１００問　【８９年版】	日本経済新聞社．編	日本経済新聞社, 		330 ﾆ  	ISBN: 9784-532088538 RGTN: 18591 受入日: 19890515
慣用　ことわざ辞典	尚学図書	小学館, 	辞典	388.8 ｼ  一般書架	ISBN:  RGTN: 19263 受入日: 19890707
ああ無情　／少年少女世界文学館１７	ビクトル・ユーゴー／塚原　亮一．訳	講談社, 	少年少女世界文学館１７	908 ｺ 17 一般書架	ISBN: 9784-061943179 RGTN: 19438 受入日: 19890901
国際労働経済統計年鑑　【特製版】	国際労働事務局	日本ＩＬＯ協会, 		366.05 ｺ 1964 一般書架	ISBN:  RGTN: 19647 受入日: 19670401
沈黙	遠藤　周作	新潮社, 	新潮文庫	913.6 ｴﾝ  西高100冊	ISBN: 9784-101123158 RGTN: 19741 受入日: 19891026
ふざけるな！　校則　--負けるな！全国の中学・高校生へ！　パート１--	はやし　たけし	駒草出版, 		376.4 ﾊ  	ISBN:  RGTN: 19929 受入日: 19900208
道草	夏目　漱石	岩波書店, 	岩波文庫	913.6 ﾅｿ  文庫書架	ISBN: 9784-003101131 RGTN: 20363 受入日: 19900425
古典落語　〈大尾〉	興津　要．編	講談社, 	講談社文庫	913.7 ｵｶ 4 文庫書架	ISBN:  RGTN: 20470 受入日: 19900510
